,Begovaya_min,Odi_min,Begovaya,Odi
151,13,46,00:13,00:46
152,21,52,00:21,00:52
153,28,61,00:28,01:01
154,43,76,00:43,01:16
155,50,81,00:50,01:21
156,73,106,01:13,01:46
0,266,298,04:26,04:58
1,283,317,04:43,05:17
2,293,324,04:53,05:24
3,301,333,05:01,05:33
4,321,352,05:21,05:52
5,333,365,05:33,06:05
6,343,376,05:43,06:16
7,353,384,05:53,06:24
8,368,399,06:08,06:39
9,373,406,06:13,06:46
10,378,410,06:18,06:50
11,383,415,06:23,06:55
12,388,421,06:28,07:01
13,393,425,06:33,07:05
14,403,436,06:43,07:16
15,408,440,06:48,07:20
16,418,451,06:58,07:31
17,428,460,07:08,07:40
18,433,466,07:13,07:46
19,438,470,07:18,07:50
20,443,475,07:23,07:55
21,448,481,07:28,08:01
22,453,485,07:33,08:05
23,458,490,07:38,08:10
24,463,496,07:43,08:16
25,473,505,07:53,08:25
26,478,511,07:58,08:31
27,488,522,08:08,08:42
28,493,526,08:13,08:46
29,498,530,08:18,08:50
30,503,536,08:23,08:56
31,508,541,08:28,09:01
32,514,545,08:34,09:05
33,523,556,08:43,09:16
34,528,560,08:48,09:20
35,533,565,08:53,09:25
36,538,571,08:58,09:31
37,553,586,09:13,09:46
38,558,590,09:18,09:50
39,563,596,09:23,09:56
40,568,601,09:28,10:01
41,575,608,09:35,10:08
42,583,616,09:43,10:16
43,593,625,09:53,10:25
44,598,631,09:58,10:31
45,604,635,10:04,10:35
46,613,646,10:13,10:46
47,623,655,10:23,10:55
48,628,661,10:28,11:01
49,635,666,10:35,11:06
50,643,676,10:43,11:16
51,648,680,10:48,11:20
52,653,686,10:53,11:26
53,658,691,10:58,11:31
54,668,699,11:08,11:39
55,673,706,11:13,11:46
56,688,721,11:28,12:01
57,693,725,11:33,12:05
58,703,736,11:43,12:16
59,718,751,11:58,12:31
60,733,766,12:13,12:46
61,748,781,12:28,13:01
62,763,796,12:43,13:16
63,778,811,12:58,13:31
64,793,826,13:13,13:46
65,808,841,13:28,14:01
66,815,846,13:35,14:06
67,823,856,13:43,14:16
68,829,860,13:49,14:20
69,834,865,13:54,14:25
70,838,871,13:58,14:31
71,853,886,14:13,14:46
72,858,890,14:18,14:50
73,863,894,14:23,14:54
74,868,901,14:28,15:01
75,873,905,14:33,15:05
76,883,916,14:43,15:16
77,893,925,14:53,15:25
78,898,931,14:58,15:31
79,903,935,15:03,15:35
80,913,946,15:13,15:46
81,921,952,15:21,15:52
82,928,961,15:28,16:01
83,934,965,15:34,16:05
84,939,971,15:39,16:11
85,943,976,15:43,16:16
86,953,985,15:53,16:25
87,958,991,15:58,16:31
88,968,1000,16:08,16:40
89,973,1006,16:13,16:46
90,978,1010,16:18,16:50
91,983,1015,16:23,16:55
92,988,1021,16:28,17:01
93,993,1025,16:33,17:05
94,998,1031,16:38,17:11
95,1003,1036,16:43,17:16
96,1008,1040,16:48,17:20
97,1013,1045,16:53,17:25
98,1018,1051,16:58,17:31
99,1028,1060,17:08,17:40
100,1033,1066,17:13,17:46
101,1038,1070,17:18,17:50
102,1043,1075,17:23,17:55
103,1048,1081,17:28,18:01
104,1053,1085,17:33,18:05
105,1063,1096,17:43,18:16
106,1073,1105,17:53,18:25
107,1078,1111,17:58,18:31
108,1084,1115,18:04,18:35
109,1093,1126,18:13,18:46
110,1103,1135,18:23,18:55
111,1108,1141,18:28,19:01
112,1114,1145,18:34,19:05
113,1123,1156,18:43,19:16
114,1129,1160,18:49,19:20
115,1133,1165,18:53,19:25
116,1138,1171,18:58,19:31
117,1143,1175,19:03,19:35
118,1153,1186,19:13,19:46
119,1158,1190,19:18,19:50
120,1163,1195,19:23,19:55
121,1168,1201,19:28,20:01
122,1178,1212,19:38,20:12
123,1183,1216,19:43,20:16
124,1188,1220,19:48,20:20
125,1193,1226,19:53,20:26
126,1198,1231,19:58,20:31
127,1203,1235,20:03,20:35
128,1208,1240,20:08,20:40
129,1213,1246,20:13,20:46
130,1219,1250,20:19,20:50
131,1228,1261,20:28,21:01
132,1238,1271,20:38,21:11
133,1243,1276,20:43,21:16
134,1253,1286,20:53,21:26
135,1258,1291,20:58,21:31
136,1273,1306,21:13,21:46
137,1283,1316,21:23,21:56
138,1288,1321,21:28,22:01
139,1293,1325,21:33,22:05
140,1298,1330,21:38,22:10
141,1303,1336,21:43,22:16
142,1333,1366,22:13,22:46
143,1343,1376,22:23,22:56
144,1358,1390,22:38,23:10
145,1363,1396,22:43,23:16
146,1371,1402,22:51,23:22
147,1393,1426,23:13,23:46
148,1399,1431,23:19,23:51
149,1423,16,23:43,00:16
150,1438,31,23:58,00:31
