,Abfahrt,Odi_min,Abfahrt_min,Odi
151,00:13,46,13,00:46
152,00:21,52,21,00:52
153,00:28,61,28,01:01
154,00:43,76,43,01:16
155,00:50,81,50,01:21
156,01:13,106,73,01:46
0,04:26,298,266,04:58
1,04:43,317,283,05:17
2,04:53,324,293,05:24
3,05:01,333,301,05:33
4,05:21,352,321,05:52
5,05:33,365,333,06:05
6,05:43,376,343,06:16
7,05:53,384,353,06:24
8,06:08,399,368,06:39
9,06:13,406,373,06:46
10,06:18,410,378,06:50
11,06:23,415,383,06:55
12,06:28,421,388,07:01
13,06:33,425,393,07:05
14,06:43,436,403,07:16
15,06:48,440,408,07:20
16,06:58,451,418,07:31
17,07:08,460,428,07:40
18,07:13,466,433,07:46
19,07:18,470,438,07:50
20,07:23,475,443,07:55
21,07:28,481,448,08:01
22,07:33,485,453,08:05
23,07:38,490,458,08:10
24,07:43,496,463,08:16
25,07:53,505,473,08:25
26,07:58,511,478,08:31
27,08:08,522,488,08:42
28,08:13,526,493,08:46
29,08:18,530,498,08:50
30,08:23,536,503,08:56
31,08:28,541,508,09:01
32,08:34,545,514,09:05
33,08:43,556,523,09:16
34,08:48,560,528,09:20
35,08:53,565,533,09:25
36,08:58,571,538,09:31
37,09:13,586,553,09:46
38,09:18,590,558,09:50
39,09:23,596,563,09:56
40,09:28,601,568,10:01
41,09:35,608,575,10:08
42,09:43,616,583,10:16
43,09:53,625,593,10:25
44,09:58,631,598,10:31
45,10:04,635,604,10:35
46,10:13,646,613,10:46
47,10:23,655,623,10:55
48,10:28,661,628,11:01
49,10:35,666,635,11:06
50,10:43,676,643,11:16
51,10:48,680,648,11:20
52,10:53,686,653,11:26
53,10:58,691,658,11:31
54,11:08,699,668,11:39
55,11:13,706,673,11:46
56,11:28,721,688,12:01
57,11:33,725,693,12:05
58,11:43,736,703,12:16
59,11:58,751,718,12:31
60,12:13,766,733,12:46
61,12:28,781,748,13:01
62,12:43,796,763,13:16
63,12:58,811,778,13:31
64,13:13,826,793,13:46
65,13:28,841,808,14:01
66,13:35,846,815,14:06
67,13:43,856,823,14:16
68,13:49,860,829,14:20
69,13:54,865,834,14:25
70,13:58,871,838,14:31
71,14:13,886,853,14:46
72,14:18,890,858,14:50
73,14:23,894,863,14:54
74,14:28,901,868,15:01
75,14:33,905,873,15:05
76,14:43,916,883,15:16
77,14:53,925,893,15:25
78,14:58,931,898,15:31
79,15:03,935,903,15:35
80,15:13,946,913,15:46
81,15:21,952,921,15:52
82,15:28,961,928,16:01
83,15:34,965,934,16:05
84,15:39,971,939,16:11
85,15:43,976,943,16:16
86,15:53,985,953,16:25
87,15:58,991,958,16:31
88,16:08,1000,968,16:40
89,16:13,1006,973,16:46
90,16:18,1010,978,16:50
91,16:23,1015,983,16:55
92,16:28,1021,988,17:01
93,16:33,1025,993,17:05
94,16:38,1031,998,17:11
95,16:43,1036,1003,17:16
96,16:48,1040,1008,17:20
97,16:53,1045,1013,17:25
98,16:58,1051,1018,17:31
99,17:08,1060,1028,17:40
100,17:13,1066,1033,17:46
101,17:18,1070,1038,17:50
102,17:23,1075,1043,17:55
103,17:28,1081,1048,18:01
104,17:33,1085,1053,18:05
105,17:43,1096,1063,18:16
106,17:53,1105,1073,18:25
107,17:58,1111,1078,18:31
108,18:04,1115,1084,18:35
109,18:13,1126,1093,18:46
110,18:23,1135,1103,18:55
111,18:28,1141,1108,19:01
112,18:34,1145,1114,19:05
113,18:43,1156,1123,19:16
114,18:49,1160,1129,19:20
115,18:53,1165,1133,19:25
116,18:58,1171,1138,19:31
117,19:03,1175,1143,19:35
118,19:13,1186,1153,19:46
119,19:18,1190,1158,19:50
120,19:23,1195,1163,19:55
121,19:28,1201,1168,20:01
122,19:38,1212,1178,20:12
123,19:43,1216,1183,20:16
124,19:48,1220,1188,20:20
125,19:53,1226,1193,20:26
126,19:58,1231,1198,20:31
127,20:03,1235,1203,20:35
128,20:08,1240,1208,20:40
129,20:13,1246,1213,20:46
130,20:19,1250,1219,20:50
131,20:28,1261,1228,21:01
132,20:38,1271,1238,21:11
133,20:43,1276,1243,21:16
134,20:53,1286,1253,21:26
135,20:58,1291,1258,21:31
136,21:13,1306,1273,21:46
137,21:23,1316,1283,21:56
138,21:28,1321,1288,22:01
139,21:33,1325,1293,22:05
140,21:38,1330,1298,22:10
141,21:43,1336,1303,22:16
142,22:13,1366,1333,22:46
143,22:23,1376,1343,22:56
144,22:38,1390,1358,23:10
145,22:43,1396,1363,23:16
146,22:51,1402,1371,23:22
147,23:13,1426,1393,23:46
148,23:19,1431,1399,23:51
149,23:43,16,1423,00:16
150,23:58,31,1438,00:31
