,Abfahrt,Odi_min,Abfahrt_min,Odi
150,00:13,31,13,00:31
151,00:28,46,28,00:46
152,00:35,52,35,00:52
153,00:43,61,43,01:01
154,00:58,76,58,01:16
155,01:04,81,64,01:21
156,01:28,106,88,01:46
0,04:41,298,281,04:58
1,05:00,317,300,05:17
2,05:07,324,307,05:24
3,05:15,333,315,05:33
4,05:35,352,335,05:52
5,05:47,365,347,06:05
6,05:57,376,357,06:16
7,06:07,384,367,06:24
8,06:22,399,382,06:39
9,06:27,406,387,06:46
10,06:32,410,392,06:50
11,06:37,415,397,06:55
12,06:42,421,402,07:01
13,06:47,425,407,07:05
14,06:57,436,417,07:16
15,07:03,440,423,07:20
16,07:12,451,432,07:31
17,07:22,460,442,07:40
18,07:27,466,447,07:46
19,07:32,470,452,07:50
20,07:37,475,457,07:55
21,07:42,481,462,08:01
22,07:47,485,467,08:05
23,07:52,490,472,08:10
24,07:57,496,477,08:16
25,08:07,505,487,08:25
26,08:12,511,492,08:31
27,08:22,522,502,08:42
28,08:27,526,507,08:46
29,08:32,530,512,08:50
30,08:37,536,517,08:56
31,08:42,541,522,09:01
32,08:48,545,528,09:05
33,08:57,556,537,09:16
34,09:02,560,542,09:20
35,09:07,565,547,09:25
36,09:12,571,552,09:31
37,09:27,586,567,09:46
38,09:32,590,572,09:50
39,09:38,596,578,09:56
40,09:42,601,582,10:01
41,09:49,608,589,10:08
42,09:57,616,597,10:16
43,10:07,625,607,10:25
44,10:12,631,612,10:31
45,10:18,635,618,10:35
46,10:27,646,627,10:46
47,10:37,655,637,10:55
48,10:42,661,642,11:01
49,10:49,666,649,11:06
50,10:57,676,657,11:16
51,11:02,680,662,11:20
52,11:07,686,667,11:26
53,11:12,691,672,11:31
54,11:22,699,682,11:39
55,11:27,706,687,11:46
56,11:42,721,702,12:01
57,11:48,725,708,12:05
58,11:57,736,717,12:16
59,12:12,751,732,12:31
60,12:28,766,748,12:46
61,12:42,781,762,13:01
62,12:58,796,778,13:16
63,13:12,811,792,13:31
64,13:27,826,807,13:46
65,13:42,841,822,14:01
66,13:49,846,829,14:06
67,13:57,856,837,14:16
68,14:03,860,843,14:20
69,14:08,865,848,14:25
70,14:12,871,852,14:31
71,14:28,886,868,14:46
72,14:32,890,872,14:50
73,14:37,894,877,14:54
74,14:42,901,882,15:01
75,14:47,905,887,15:05
76,14:57,916,897,15:16
77,15:07,925,907,15:25
78,15:12,931,912,15:31
79,15:17,935,917,15:35
80,15:27,946,927,15:46
81,15:35,952,935,15:52
82,15:42,961,942,16:01
83,15:48,965,948,16:05
84,15:53,971,953,16:11
85,15:58,976,958,16:16
86,16:07,985,967,16:25
87,16:13,991,973,16:31
88,16:22,1000,982,16:40
89,16:28,1006,988,16:46
90,16:33,1010,993,16:50
91,16:38,1015,998,16:55
92,16:43,1021,1003,17:01
93,16:48,1025,1008,17:05
94,16:53,1031,1013,17:11
95,16:58,1036,1018,17:16
96,17:03,1040,1023,17:20
97,17:07,1045,1027,17:25
98,17:13,1051,1033,17:31
99,17:23,1060,1043,17:40
100,17:28,1066,1048,17:46
101,17:33,1070,1053,17:50
102,17:38,1075,1058,17:55
103,17:43,1081,1063,18:01
104,17:48,1085,1068,18:05
105,17:57,1096,1077,18:16
106,18:08,1105,1088,18:25
107,18:13,1111,1093,18:31
108,18:18,1115,1098,18:35
109,18:28,1126,1108,18:46
110,18:38,1135,1118,18:55
111,18:43,1141,1123,19:01
112,18:48,1145,1128,19:05
113,18:58,1156,1138,19:16
114,19:03,1160,1143,19:20
115,19:08,1165,1148,19:25
116,19:13,1171,1153,19:31
117,19:18,1175,1158,19:35
118,19:27,1186,1167,19:46
119,19:32,1190,1172,19:50
120,19:37,1195,1177,19:55
121,19:43,1201,1183,20:01
122,19:52,1212,1192,20:12
123,19:58,1216,1198,20:16
124,20:02,1220,1202,20:20
125,20:07,1226,1207,20:26
126,20:13,1231,1213,20:31
127,20:18,1235,1218,20:35
128,20:23,1240,1223,20:40
129,20:28,1246,1228,20:46
130,20:33,1250,1233,20:50
131,20:42,1261,1242,21:01
132,20:53,1271,1253,21:11
133,20:58,1276,1258,21:16
134,21:07,1286,1267,21:26
135,21:13,1291,1273,21:31
136,21:28,1306,1288,21:46
137,21:38,1316,1298,21:56
138,21:43,1321,1303,22:01
139,21:48,1325,1308,22:05
140,21:53,1330,1313,22:10
141,21:58,1336,1318,22:16
142,22:28,1366,1348,22:46
143,22:37,1376,1357,22:56
144,22:53,1390,1373,23:10
145,22:58,1396,1378,23:16
146,23:05,1402,1385,23:22
147,23:28,1426,1408,23:46
148,23:33,1431,1413,23:51
149,23:59,16,1439,00:16
